Intensity Sum,Unit,Category,Channel,Image,Time,TrackID,ID
29034,,Spot,1,Image 1,214,1000000001,503
24511,,Spot,1,Image 1,214,1000000002,504
17918,,Spot,1,Image 1,215,1000000003,505
21829,,Spot,1,Image 1,215,1000000001,506
23136,,Spot,1,Image 1,215,1000000002,507
14188,,Spot,1,Image 1,216,1000000003,508
25401,,Spot,1,Image 1,216,1000000001,509
22756,,Spot,1,Image 1,216,1000000002,510
11778,,Spot,1,Image 1,217,1000000003,511
18782,,Spot,1,Image 1,217,1000000001,512
25506,,Spot,1,Image 1,217,1000000002,513
13594,,Spot,1,Image 1,218,1000000003,514
16865,,Spot,1,Image 1,218,1000000001,515
22425,,Spot,1,Image 1,218,1000000002,516
17086,,Spot,1,Image 1,219,1000000003,517
20866,,Spot,1,Image 1,219,1000000001,518
21334,,Spot,1,Image 1,219,1000000002,519
16186,,Spot,1,Image 1,220,1000000003,520
20170,,Spot,1,Image 1,220,1000000001,521
24477,,Spot,1,Image 1,220,1000000002,522
15622,,Spot,1,Image 1,221,1000000003,523
25774,,Spot,1,Image 1,221,1000000001,524
23885,,Spot,1,Image 1,221,1000000002,525
17613,,Spot,1,Image 1,222,1000000003,526
25750,,Spot,1,Image 1,222,1000000001,527
22324,,Spot,1,Image 1,222,1000000002,528
16807,,Spot,1,Image 1,223,1000000003,529
26749,,Spot,1,Image 1,223,1000000001,530
16147,,Spot,1,Image 1,223,1000000002,531
13953,,Spot,1,Image 1,224,1000000003,532
27216,,Spot,1,Image 1,224,1000000001,533
19818,,Spot,1,Image 1,224,1000000002,534
12692,,Spot,1,Image 1,225,1000000003,535
23232,,Spot,1,Image 1,225,1000000001,536
18773,,Spot,1,Image 1,225,1000000002,537
15139,,Spot,1,Image 1,226,1000000003,538
24823,,Spot,1,Image 1,226,1000000001,539
18041,,Spot,1,Image 1,226,1000000002,540
16533,,Spot,1,Image 1,227,1000000003,541
19215,,Spot,1,Image 1,227,1000000001,542
20395,,Spot,1,Image 1,227,1000000002,543
20098,,Spot,1,Image 1,228,1000000003,544
18817,,Spot,1,Image 1,228,1000000001,545
22499,,Spot,1,Image 1,228,1000000002,546
15876,,Spot,1,Image 1,229,1000000003,547
21024,,Spot,1,Image 1,229,1000000001,548
24157,,Spot,1,Image 1,229,1000000002,549
13779,,Spot,1,Image 1,230,1000000003,550
21528,,Spot,1,Image 1,230,1000000001,551
13427,,Spot,1,Image 1,230,1000000002,552
15924,,Spot,1,Image 1,231,1000000003,553
16864,,Spot,1,Image 1,231,1000000001,554
22532,,Spot,1,Image 1,231,1000000002,555
17455,,Spot,1,Image 1,232,1000000001,556
18001,,Spot,1,Image 1,232,1000000003,557
15372,,Spot,1,Image 1,232,1000000002,558
13206,,Spot,1,Image 1,233,1000000003,559
26715,,Spot,1,Image 1,233,1000000001,560
10011,,Spot,1,Image 1,233,1000000002,561
16497,,Spot,1,Image 1,234,1000000003,562
21228,,Spot,1,Image 1,234,1000000001,563
22304,,Spot,1,Image 1,234,1000000002,564
12993,,Spot,1,Image 1,235,1000000003,565
18431,,Spot,1,Image 1,235,1000000001,566
24654,,Spot,1,Image 1,235,1000000002,567
15910,,Spot,1,Image 1,236,1000000003,568
17775,,Spot,1,Image 1,236,1000000001,569
19045,,Spot,1,Image 1,236,1000000002,570
11994,,Spot,1,Image 1,237,1000000003,571
25365,,Spot,1,Image 1,237,1000000001,572
14649,,Spot,1,Image 1,237,1000000002,573
14226,,Spot,1,Image 1,238,1000000003,574
16592,,Spot,1,Image 1,238,1000000001,575
